Year,Price
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2894.1666666666665
1950,2893.333333333333
1951,2893.333333333333
1951,2894.1666666666665
1951,2894.1666666666665
1951,2894.1666666666665
1951,2894.1666666666665
1951,2894.1666666666665
1951,2893.333333333333
1951,2892.5
1951,2892.5
1951,2892.5
1951,2894.1666666666665
1951,2888.333333333333
1952,2874.166666666667
1952,2874.166666666667
1952,2890.0
1952,2901.6666666666665
1952,2894.1666666666665
1952,2877.5
1952,2880.8333333333335
1952,2881.6666666666665
1952,2875.833333333333
1952,2885.8333333333335
1952,2893.333333333333
1952,2899.1666666666665
1953,2906.666666666667
1953,2912.5
1953,2910.0
1953,2910.833333333333
1953,2908.333333333333
1953,2907.5
1953,2909.1666666666665
1953,2909.1666666666665
1953,2896.6666666666665
1953,2899.1666666666665
1953,2905.0
1953,2904.1666666666665
1954,2905.0
1954,2906.666666666667
1954,2910.0
1954,2920.0
1954,2923.333333333333
1954,2922.5
1954,2923.333333333333
1954,2920.833333333333
1954,2923.333333333333
1954,2923.333333333333
1954,2921.666666666667
1954,2920.0
1955,2920.0
1955,2920.833333333333
1955,2921.666666666667
1955,2920.833333333333
1955,2920.833333333333
1955,2920.0
1955,2920.833333333333
1955,2919.1666666666665
1955,2914.9999999999995
1955,2914.9999999999995
1955,2914.9999999999995
1955,2914.1666666666665
1956,2915.8333333333335
1956,2915.8333333333335
1956,2915.8333333333335
1956,2914.9999999999995
1956,2915.8333333333335
1956,2914.9999999999995
1956,2916.6666666666665
1956,2918.3333333333335
1956,2917.5
1956,2918.3333333333335
1956,2914.9999999999995
1956,2908.333333333333
1957,2906.666666666667
1957,2907.5
1957,2909.1666666666665
1957,2910.0
1957,2910.833333333333
1957,2915.8333333333335
1957,2915.8333333333335
1957,2914.1666666666665
1957,2913.3333333333335
1957,2914.1666666666665
1957,2914.1666666666665
1957,2915.8333333333335
1958,2917.5
1958,2923.333333333333
1958,2924.166666666667
1958,2925.0
1958,2925.833333333333
1958,2925.0
1958,2925.833333333333
1958,2925.0
1958,2925.0
1958,2925.833333333333
1958,2925.0
1958,2924.166666666667
1959,2922.5
1959,2921.666666666667
1959,2921.666666666667
1959,2923.333333333333
1959,2926.6666666666665
1959,2926.6666666666665
1959,2927.5
1959,2926.6666666666665
1959,2927.5
1959,2925.0
1959,2921.666666666667
1959,2920.833333333333
1960,2924.166666666667
1960,2924.166666666667
1960,2924.166666666667
1960,2925.833333333333
1960,2925.0
1960,2924.166666666667
1960,2925.0
1960,2927.5
1960,2935.0
1960,2981.6666666666665
1960,2985.0
1960,2961.6666666666665
1961,2963.3333333333335
1961,2930.8333333333335
1961,2923.333333333333
1961,2923.333333333333
1961,2921.666666666667
